# mode=PY timeScale=20 fixedDeltaTime=0.01999999 obsLen=89
# sensors=RayPerceptionSensor:0-64:65|VectorSensor_size24:65-88:24
# agents=0=Arena_0/Agent_Blue_0|1=Arena_0/Agent_Blue_1|2=Arena_0/Agent_Blue_2
mode,agentIdx,acadStep,agentStep,episodes,c0,c1,c2,d0,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88
PY,1,55,55,0,-0.0656952,0.05805045,-0.2245482,0,0,0,1,0,0.4793102,0,0,1,0,0.7270195,0,0,1,0,0.475278,0,0,1,0,0.480364,0,0,0,1,1,0,0,1,0,0.4150702,0,0,0,1,1,0,0,1,0,0.5844378,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8922661,0,0,0,1,1,0,0,1,0,0.9226052,0.7262496,0.4535061,-0.9883978,0.1518881,-0.003441516,-0.003503077,1,1,0,0,0,0,1,0,0,1,-0.148106,0.9889715,0.4226756,-0.1225807,0.9924586,0.8094906,0,0.4971944
PY,2,55,55,0,-0.1587012,0.1487584,0.209812,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5311402,0,0,1,0,0.9155772,0,0,0,0,0.310875,0,0,0,1,1,0,0,0,0,0.2284514,0,0,1,0,0.705063,0,0,0,0,0.188612,0.9145851,0.5303199,-0.3841493,-0.9232711,0.08568875,-0.1867318,1,1,0,0,0.1599999,0,0,0,1,1,0.8485628,0.5290947,0.7252967,0.8889083,0.4580854,1,0,0.4971944
PY,0,60,60,0,-0.1299134,0.122256,0.09009966,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.228358,0,0,0,1,1,0,0,1,0,0.3759941,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6462528,0,0,1,0,0.2683526,0.4441646,0.3070253,0.9308889,0.3653024,0.08098701,0.1976746,1,1,0,0,0.1766665,0,1,0,0,1,-0.90295,0.4297456,0.230055,-0.7934487,-0.608637,0.4644901,0,0.7760714
PY,1,60,60,0,-0.05887241,0.05378147,-0.2947424,0,0,0,1,0,0.4747247,0,0,1,0,0.7078848,0,0,1,0,0.4785615,0,0,1,0,0.5357991,0,0,0,1,1,0,0,1,0,0.396468,0,0,0,1,1,0,0,1,0,0.5644742,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.989163,0,0,0,1,1,0,0,0,1,1,0.7259691,0.4532516,-0.9966453,0.0818429,-0.03666484,-0.03521025,1,1,0,0,0,0,1,0,0,1,-0.07709099,0.9970241,0.4222409,-0.05068199,0.9987149,0.8115087,0,0.4980783
PY,2,60,60,0,-0.1471667,0.142074,-0.5744725,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.4296682,0,0,0,0,0.6652814,0,0,1,0,0.9047751,0,0,0,0,0.3457924,0,0,0,1,1,0,0,0,0,0.2424362,0,0,1,0,0.9277973,0,0,0,0,0.19473,0.9155443,0.527945,-0.4441279,-0.8959637,0.0598076,-0.1600933,1,1,0,0,0.1766665,0,0,0,1,1,0.8149849,0.5794827,0.7261791,0.8590611,0.5118734,1,0,0.4980783
PY,0,65,65,0,-0.1232711,0.1156472,0.07151399,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2275511,0,0,0,1,1,0,0,1,0,0.3351266,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6399757,0,0,1,0,0.3217492,0.4449041,0.3087839,0.9408548,0.3388101,0.05370828,0.1237788,1,1,0,0,0.1933332,0,1,0,0,1,-0.9164419,0.4001681,0.2272473,-0.7716335,-0.6360675,0.468553,0,0.7719116
PY,1,65,65,0,-0.07488964,0.06601645,0.934588,0,0,0,1,0,0.4727755,0,0,1,0,0.4846475,0,0,1,0,0.4871558,0,0,0,1,1,1,0,0,0,0.6706555,0,0,1,0,0.4400434,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8321606,0,0,1,0,0.6720483,0,0,1,0,0.9461923,0,0,0,1,1,0,0,0,1,1,0.7257949,0.4530706,-0.9999433,-0.01066136,-0.02920846,-0.03266599,1,1,0,0,0,0,1,0,0,1,0.01609797,0.9998706,0.4219712,0.04446805,0.9990109,0.8153407,0,0.4991018
PY,2,65,65,0,-0.1880584,0.1741465,0.388579,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.8370601,0,0,0,1,1,0,0,0,0,0.380372,1,0,0,0,0.4229674,0,0,0,0,0.2549965,0,0,1,0,0.899758,0,0,0,0,0.1998871,0,0,0,1,1,0,0,0,0,0.1719891,0.9165695,0.5258286,-0.2760912,-0.9611318,0.07970846,-0.1381613,1,1,0,0,0.1933332,0,0,0,1,1,0.9077944,0.4194164,0.7272447,0.9387214,0.3446778,1,0,0.4991018
PY,0,70,70,0,-0.1192628,0.1114334,0.05380512,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2265044,0,0,0,1,1,0,0,1,0,0.3070209,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6360009,0,0,1,0,0.3805645,0.4456198,0.3103808,0.9482288,0.3175883,0.05266669,0.1147421,1,1,0,0,0.2099998,0,1,0,0,1,-0.9267914,0.3755769,0.2246969,-0.7532072,-0.6577834,0.4708899,0,0.767193
PY,1,70,70,0,-0.06968722,0.06555773,0.8418165,0,0,0,1,0,0.6995782,0,0,1,0,0.5679249,0,0,1,0,0.4723565,0,0,1,0,0.4115666,0,0,1,0,0.4797251,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9718936,0.7253457,0.4527054,-0.9602367,0.2791874,-0.05231005,-0.03318618,1,1,0,0,0,0,1,0,0,1,-0.2726564,0.9621115,0.4212761,-0.2446932,0.9696006,0.8171359,0,0.5013319
PY,2,70,70,0,-0.1576304,0.1476758,0.2140102,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5182969,0,0,1,0,0.9216641,0,0,0,0,0.2998764,0,0,0,1,1,0,0,0,0,0.2192865,0,0,1,0,0.7140106,0,0,0,0,0.1805076,0.9180229,0.5229729,-0.391076,-0.9203585,0.08451024,-0.1882359,1,1,0,0,0.2099998,0,0,0,1,1,0.8533699,0.5213062,0.7288173,0.8920701,0.4518972,1,0,0.5013319
