# mode=ONNX timeScale=1 fixedDeltaTime=0.01999999 obsLen=89
# sensors=RayPerceptionSensor:0-64:65|VectorSensor_size24:65-88:24
# agents=0=Arena_0/Agent_Blue_0|1=Arena_0/Agent_Blue_1|2=Arena_0/Agent_Blue_2
mode,agentIdx,acadStep,agentStep,episodes,c0,c1,c2,d0,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88
ONNX,2,35,35,0,-0.9034728,0.1274954,0.2285055,0,0,0,1,0,0.3461913,0,0,1,0,0.2851357,0,0,0,1,1,0,0,0,0,0.833068,0,0,1,0,0.2763502,0,0,0,0,0.7075506,0,0,1,0,0.2455184,0,0,0,0,0.645129,0,0,1,0,0.2736582,0,0,0,0,0.6237277,0,0,1,0,0.3291233,0,0,0,0,0.6369355,0,0,1,0,0.4982363,0.7034087,0.2921725,0.3711852,0.9285589,-0.5293747,0.6559893,1,0.9733334,0,0,0.09333327,0,0,1,0,1,-0.980498,0.1965292,0.4622563,0.08939123,0.9959966,0.6558746,0,0.8021847
ONNX,0,40,40,0,-0.5281137,0.2228948,-1,1,0,0,0,0,0.8438959,0,0,1,0,0.4040671,0,0,0,0,0.7991906,0,0,1,0,0.4340894,0,0,0,0,0.7999393,0,0,0,1,1,0,0,0,0,0.8463593,0,0,1,0,0.4396637,0,0,0,0,0.9530425,0,0,1,0,0.4214996,0,0,0,1,1,0,0,1,0,0.4268767,0,0,0,0,0.9519532,0.6258399,0.6112204,0.9410546,-0.3382547,0.02442892,0.03906792,1,0.99,0,1,0,0,0,0,1,1,0.8847296,-0.4661047,0.3611247,-0.553916,0.8325726,0.4186381,1,0.7819008
ONNX,1,40,40,0,0.6787107,1,0.07755874,0,0,0,1,0,0.8637403,0,0,0,1,1,0,0,1,0,0.8243933,0,0,0,1,1,0,0,1,0,0.83134,0,0,1,0,0.7945917,0,0,0,1,1,0,0,1,0,0.6907672,0,0,0,0,0.7035354,0,0,1,0,0.8432916,0,0,0,0,0.542147,0,0,0,1,1,0,0,0,0,0.4612111,0.1074708,0.02467033,0.308091,0.9513569,0.03961287,0.05710907,1,0.99,0,1,0.1166666,0,0,0,1,1,0.3579224,0.9337513,0.8594843,-0.03003997,0.9995487,1,0,1
ONNX,2,40,40,0,-0.3639248,0.7364132,0.2892737,0,0,0,1,0,0.3449961,0,0,1,0,0.2829879,0,0,0,1,1,0,0,0,0,0.8131475,0,0,1,0,0.2199793,0,0,0,0,0.7073525,0,0,1,0,0.2259972,0,0,0,0,0.6572713,0,0,1,0,0.2469574,0,0,0,0,0.6463541,0,0,1,0,0.2893997,0,0,0,0,0.6713974,0,0,1,0,0.4954122,0.693316,0.29855,0.4368304,0.8995439,-0.5697923,0.3833784,1,0.9733334,0,0,0.1099999,0,0,1,0,1,-0.9919919,0.1263009,0.443686,0.05085272,0.9987062,0.6379012,0,0.7819008
ONNX,0,45,45,0,-0.7701737,0.2555602,-0.6265419,1,0,0,0,0,0.7930163,0,0,0,0,0.8209991,0,1,0,0,0.6047891,0,0,0,0,0.9014012,0,0,0,0,0.8738409,0,0,1,0,0.3990752,0,0,0,1,1,0,0,1,0,0.5202637,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.9089355,0,0,1,0,0.4283332,0,0,0,0,0.8407567,0.6265284,0.6126921,0.9995226,-0.03089774,0.1902972,0.414628,1,0.99,0,0,0,0,0,0,1,1,0.6992971,-0.7148313,0.3634613,-0.2243803,0.9745017,0.419227,1,0.753283
ONNX,1,45,45,0,-0.05110824,1,0.2923063,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8212633,0,0,0,1,1,0,0,1,0,0.8234771,0,0,1,0,0.503212,0,0,0,1,1,0,0,1,0,0.8724572,0,0,0,0,0.7407212,0,0,1,0,0.8348951,0,0,0,0,0.5632704,0,0,0,1,1,0,0,0,0,0.4750713,0.1105144,0.02692998,0.3311778,0.9435683,0.7455698,0.5515831,1,0.99,0,0,0.1333332,0,0,0,1,1,0.3334379,0.942772,0.8537763,-0.05387014,0.9985479,1,0,1
ONNX,2,45,45,0,-1,0.3302763,0.3569055,0,0,0,1,0,0.2889595,0,0,1,0,0.2655668,0,0,0,1,1,0,0,0,0,0.76161,0,0,0,1,1,0,0,0,0,0.6809759,0,0,1,0,0.1919098,0,0,0,0,0.6473382,0,0,1,0,0.2048201,0,0,0,0,0.6502736,0,0,1,0,0.2330635,0,0,0,0,0.6906377,0,0,1,0,0.288375,0.6939569,0.3119983,0.516664,0.8561882,0.06463932,0.7680297,1,0.9733334,0,0,0.1266666,0,0,1,0,1,-0.9999824,-0.005914681,0.4334545,-0.004074454,0.9999917,0.6086735,0,0.753283
ONNX,0,50,50,0,-0.02056283,-0.1447256,-0.02663626,0,0,1,0,0,0.6003528,0,0,0,0,0.79274,0,0,0,0,0.858271,0,0,0,0,0.8278217,0,0,0,0,0.9798607,0,0,0,0,0.9179295,0,0,0,1,1,0,0,1,0,0.410251,0,0,0,0,0.9190052,0,0,1,0,0.5457713,0,0,0,0,0.8420737,0,0,0,1,1,0,0,0,0,0.8177055,0.6272849,0.6151477,0.986265,0.1651709,0.008232157,0.05287252,1,0.9866667,0,1,0,0,0,0,1,1,0.5505911,-0.8347752,0.3669189,0.01062787,0.9999435,0.4161896,1,0.7277591
ONNX,1,50,50,0,-0.1554295,1,-0.2578213,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8242505,0,0,0,1,1,0,0,1,0,0.8088861,0,0,1,0,0.4857954,0,0,0,1,1,0,0,1,0,0.8489162,0,0,0,0,0.8671305,0,0,0,1,1,0,0,0,0,0.6221681,0,0,0,0,0.9466062,0,0,0,0,0.5064094,0.1117432,0.03074501,0.4163092,0.9092231,0.02605365,0.06554949,1,0.9866667,0,1,0.1499999,0,0,0,1,1,0.2481284,0.9687271,0.847957,-0.1415064,0.9899373,1,0,1
ONNX,2,50,50,0,-0.4789321,-0.005866726,-0.1162364,0,0,0,1,0,0.2752599,0,0,1,0,0.2613934,0,0,1,0,0.4090901,0,0,0,0,0.7360671,0,0,0,1,1,0,0,0,0,0.6786966,0,0,1,0,0.1651265,0,0,0,0,0.6627693,0,0,1,0,0.1714515,0,0,0,0,0.6835792,0,0,1,0,0.1888678,0,0,0,0,0.7473332,0,0,1,0,0.2236422,0.6855938,0.3231939,0.6092188,0.7930021,-0.448972,0.6608955,1,0.9733334,0,0,0.1433332,0,0,1,0,1,-0.9904741,-0.1376988,0.4134496,-0.07084936,0.997487,0.5904957,0,0.7277591
ONNX,0,55,55,0,0.01957123,-0.0448433,-0.07537289,1,0,1,0,0,0.6026902,0,0,0,0,0.7923244,0,0,0,0,0.861337,0,0,0,0,0.8257173,0,0,0,0,0.9859279,0,0,0,0,0.9134603,0,0,0,1,1,0,0,1,0,0.4069962,0,0,0,0,0.9151085,0,0,1,0,0.5388051,0,0,0,0,0.8403727,0,0,0,1,1,0,0,0,0,0.817675,0.6272849,0.6151477,0.9848483,0.1734182,-3.911555E-08,-1.309672E-09,1,0.9866667,0,1,0,0,0,0,1,1,0.5435863,-0.8393533,0.3669189,0.02907528,0.9995772,0.4171602,1,0.7181402
ONNX,1,55,55,0,0.4544386,1,-0.01073616,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8122195,0,0,0,1,1,0,0,1,0,0.8123488,0,0,1,0,0.496489,0,0,0,1,1,0,0,1,0,0.8663691,0,0,0,0,0.7584332,0,0,1,0,0.8312426,0,0,0,0,0.5731981,0,0,0,1,1,0,0,0,0,0.4815484,0.1119077,0.03145834,0.3413806,0.9399251,0.01356076,0.06895256,1,0.9866667,0,1,0.1666665,0,0,0,1,1,0.3262501,0.9452835,0.8469334,-0.05026397,0.998736,1,0,1
ONNX,2,55,55,0,-0.7064518,0.05228712,-0.1762216,1,0,0,1,0,0.3059333,0,0,1,0,0.2399578,0,0,0,1,1,0,0,0,0,0.7607815,0,0,1,0,0.1615907,0,0,0,0,0.694707,0,0,1,0,0.158533,0,0,0,0,0.6725527,0,0,1,0,0.1660631,0,0,0,0,0.6876959,0,0,1,0,0.1848039,0,0,0,0,0.7446032,0,0,1,0,0.2217904,0.6811823,0.3263494,0.5798613,0.8147153,-0.2698068,0.1870947,1,0.9733334,0,0,0.1599999,0,0,1,0,1,-0.9946194,-0.1035966,0.4050585,-0.0148516,0.9998899,0.5878478,0,0.7181402
ONNX,0,60,60,0,-0.3650831,0.5254081,0.2844989,1,0,0,0,0,0.8067317,0,0,0,0,0.7914504,0,0,0,0,0.8704653,0,0,0,0,0.8201287,0,0,0,1,1,0,0,0,0,0.9013845,0,0,0,1,1,0,0,1,0,0.3982086,0,0,0,0,0.9045994,0,0,1,0,0.5202141,0,0,0,0,0.8359113,0,0,0,1,1,0,0,0,0,0.8178997,0.6272849,0.6151477,0.9804663,0.1966875,-0.001069682,-0.0007468183,1,0.9866667,0,0,0,0,0,0,1,1,0.5235609,-0.8519883,0.3669189,0.06728512,0.9977339,0.4138824,1,0.7095008
ONNX,1,60,60,0,-0.006203284,1,0.01105418,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8006496,0,0,0,1,1,0,0,1,0,0.8014086,0,0,1,0,0.7857028,0,0,0,1,1,0,0,1,0,0.6729171,0,0,0,0,0.7742689,0,0,1,0,0.8205021,0,0,0,0,0.5862995,0,0,0,1,1,0,0,0,0,0.4931614,0.1168574,0.03654263,0.3382084,0.9410712,0.6611103,0.6796771,1,0.9866667,0,0,0.1833332,0,0,0,1,1,0.3283,0.9445735,0.8359415,-0.03788689,0.999282,0.993968,0,1
ONNX,2,60,60,0,-0.2509532,0.6238829,0.02163287,0,0,0,1,0,0.3476343,0,0,1,0,0.2597614,0,0,0,1,1,0,0,0,0,0.7945479,0,0,1,0,0.152342,0,0,0,0,0.7145429,0,0,1,0,0.1530052,0,0,0,0,0.6826089,0,0,1,0,0.1624713,0,0,0,0,0.6889607,0,0,1,0,0.183745,0,0,0,0,0.7354522,0,0,1,0,0.2254121,0.6774549,0.3292662,0.533892,0.8455527,-0.1882679,0.1393198,1,0.96,0,1,0.01333333,0,0,1,0,1,-0.998691,-0.05115084,0.397779,0.05529544,0.9984701,0.5808127,0,0.7095008
ONNX,0,65,65,0,-0.2285809,0.2354125,0.08461621,1,0,1,0,0,0.5853761,0,0,0,0,0.7907396,0,0,0,0,0.8326899,0,0,0,0,0.8374034,0,0,0,0,0.9344227,0,0,0,0,0.9440041,0,0,0,1,1,0,0,1,0,0.4256034,0,0,0,0,0.9412228,0,0,0,1,1,0,0,0,0,0.8490303,0,0,1,0,0.4536113,0,0,0,0,0.8132162,0.6301557,0.6179776,0.9941088,0.1083871,0.02391086,0.02079719,1,0.9833333,0,1,0,0,0,0,1,1,0.5979123,-0.8015615,0.3731872,0.01241636,0.9999229,0.4062337,1,0.7090014
ONNX,1,65,65,0,0.2915483,1,0.01244084,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.7652717,0,0,0,1,1,0,0,1,0,0.7653754,0,0,1,0,0.7195737,0,0,0,1,1,0,0,1,0,0.557311,0,0,0,0,0.8012173,0,0,1,0,0.8077294,0,0,0,0,0.6054981,0,0,0,1,1,0,0,0,0,0.5086653,0.1225748,0.05265974,0.3414745,0.939891,0.3257583,0.914264,1,0.9866667,0,0,0.1999999,0,0,0,1,1,0.3353049,0.9421097,0.8108972,-0.02799323,0.999608,0.9814967,0,1
ONNX,2,65,65,0,-0.4395211,0.7311898,-0.0168463,1,0,0,1,0,0.3419361,0,0,1,0,0.2565463,0,0,0,1,1,0,0,0,0,0.7900692,0,0,1,0,0.14663,0,0,0,0,0.711877,0,0,1,0,0.1470345,0,0,0,0,0.6811841,0,0,1,0,0.1558672,0,0,0,0,0.6886173,0,0,1,0,0.1759191,0,0,0,0,0.7363496,0,0,1,0,0.2152065,0.6779465,0.3318959,0.5396261,0.8419048,0.03302895,0.1740344,1,0.96,0,1,0.02999999,0,0,1,0,1,-0.997695,-0.06785756,0.396461,0.05981657,0.9982095,0.56749,0,0.7090014
ONNX,0,70,70,0,-0.1271713,0.2513717,-0.1683086,0,0,1,0,0,0.5820898,0,0,0,0,0.7936497,0,0,0,0,0.8251883,0,0,0,0,0.8460839,0,0,0,0,0.9189501,0,0,1,0,0.4076242,0,0,0,1,1,0,0,1,0,0.4382971,0,0,0,0,0.9565009,0,0,0,1,1,0,0,0,0,0.8563371,0,0,1,0,0.4502907,0,0,0,0,0.8149322,0.6301566,0.6179787,0.9966385,0.08192545,0.006594848,0.007548029,1,0.9833333,0,1,0,0,0,0,1,1,0.6190072,-0.7853854,0.3731893,0.02140699,0.9997708,0.4034011,1,0.6911994
